Week1,Week2,Week3,Week4,HB,HDA,HDS,HTA,HBM,HBP,HMG,HGP,Inflasi,Target
12,18,26,23,12.9,36.4,129.4,23.3,33.15,32.5,13.35,13.85,0.25,28
18,26,23,28,12.9,39.2,129.4,23.25,33.75,55,13.35,13.85,0.25,26
26,23,28,26,12.9,40.8,129.4,24.75,32,54.25,13.25,13.95,0.25,31
23,28,26,31,12.9,40.35,129.4,25.7,30.75,44,13.25,14.2,0.25,38
28,26,31,38,12.9,40.2,129.4,26.25,29.55,42.5,13.25,14.15,-0.02,31
26,31,38,31,12.9,37.05,129.4,26.25,30.75,45,13.15,15.9,-0.02,21
31,38,31,21,12.9,36.25,129.4,26.25,36.4,45,13.15,17.5,-0.02,21
38,31,21,21,12.9,36.25,129.4,26.25,35.25,42,13,17.6,-0.02,11
31,21,21,11,13,36.25,129.4,26.25,35.05,43.25,12.9,19.95,-0.02,15
21,21,11,15,13.05,33.45,129.4,25.95,35.3,44.5,12.8,20.15,-0.3,14
21,11,15,14,13.45,31.65,129.4,25.25,33.75,41.9,12.95,20,-0.3,14
11,15,14,14,13.9,29.75,129.4,25.25,33.75,41.25,12.95,19.8,-0.3,3
15,14,14,3,13.9,29.75,129.4,24.75,33.3,39.45,12.85,19.15,-0.3,9
14,14,3,9,13.9,32.25,129.4,23.65,37.05,36.5,12.9,18.45,-0.28,9
14,3,9,9,13.9,32,129.4,21.15,47.5,36.25,12.95,18.3,-0.28,19
3,9,9,19,13.9,35,129.4,19.4,47,33.75,12.8,17.75,-0.28,5
9,9,19,5,13.9,40.25,129.4,20.25,55,36.25,12.75,17.75,-0.28,15
9,19,5,15,13.9,46.5,129.4,22.3,57.2,36.25,12.75,17.9,0.11,20
19,5,15,20,13.9,46.3,129.4,23.25,61.25,32.5,12.85,17.75,0.11,15
5,15,20,15,13.9,47.55,129.4,24.2,52.25,25.75,12.85,17.5,0.11,19
15,20,15,19,13.9,46.75,129.4,24.8,42.75,23,12.85,17.15,0.11,13
20,15,19,13,13.95,45.25,129.4,27.25,38.75,18.75,12.85,16.5,0.11,18
15,19,13,18,13.95,45.75,129.4,26.7,36.85,19.45,12.85,16.45,0.39,11
19,13,18,11,13.95,45.75,129.4,26.35,33,20.25,12.65,16.5,0.39,11
13,18,11,11,13.95,40.75,129.4,26.25,33.25,20,12.65,16.45,0.39,17
18,11,11,17,13.95,36.5,129.4,26.1,29.7,17.75,12.7,16.4,0.39,7
11,11,17,7,13.95,40.5,129.4,25.9,28.25,18.4,12.8,16.4,-0.28,15
11,17,7,15,13.95,38.8,129.4,25,27.25,18.75,12.8,16.45,-0.28,7
17,7,15,7,13.95,33.35,129.4,25,32.25,20.25,12.95,16.45,-0.28,11
7,15,7,11,13.95,34.9,129.4,25,30.6,21.6,13.3,16.45,-0.28,9
15,7,11,9,13.95,34,129.4,25,27.45,25,13.45,16.4,-0.28,11
7,11,9,11,13.95,35.6,129.4,24.35,26.25,24.55,13.5,16.35,0.31,18
11,9,11,18,13.95,34.3,129.4,23.75,26.25,25.75,13.5,16.35,0.31,7
9,11,18,7,13.95,35.25,129.4,23.7,26.8,26.6,13.5,16.25,0.31,11
11,18,7,11,13.95,37,129.4,22.75,28.25,25,13.5,16.2,0.31,14
18,7,11,14,13.95,37.2,129.4,22.25,26.55,24.5,13.5,16.2,-0.32,15
7,11,14,15,13.95,37.1,129.4,21.25,27,24.5,13.6,15.45,-0.32,23
11,14,15,23,13.95,40.75,129.4,21.85,30.75,26,13.65,15.45,-0.32,29
14,15,23,29,13.95,42.05,129.4,24.15,30.75,26.25,13.65,14.45,-0.32,13
15,23,29,13,13.95,40.9,129.4,24.25,29.25,26.25,13.65,12.95,0.22,18
23,29,13,18,13.95,42.75,129.4,24.15,35.35,25.8,13.7,12.95,0.22,14
29,13,18,14,13.95,42.75,129.4,24.45,37.5,26.15,13.95,12.95,0.22,21
13,18,14,21,13.95,42.25,129.4,26,36.5,27,13.95,13.15,0.22,11
18,14,21,11,13.95,42.25,129.4,26,36,26.25,14,13.1,0.22,5
14,21,11,5,13.95,41.75,129.4,26,36.3,26.5,14,13.1,0.75,5
21,11,5,5,13.95,39.2,129.4,27.45,36,26.5,14,13.1,0.75,12
11,5,5,12,13.95,38.95,129.4,28.95,35.25,26.5,14.1,13.25,0.75,4
5,5,12,4,13.95,39,129.4,29,34.65,26.5,14.15,13.25,0.75,5
5,12,4,5,13.95,39,129.4,28.35,30,25.75,14.2,13.25,0.83,20
12,4,5,20,13.95,38.6,129.4,26,28.15,25.65,14,13.25,0.83,11
4,5,20,11,13.95,37.6,129.4,25.7,29.5,27.25,14,13.25,0.83,9
5,20,11,9,13.95,38.25,129.4,25.2,30.45,27.25,14.05,13.3,0.83,12
20,11,9,12,13.95,34.2,129.4,24.9,30,26.25,14.05,13.35,-0.23,20
11,9,12,20,13.95,35.05,129.4,24.75,29.8,27.25,14.05,13.35,-0.23,12
9,12,20,12,13.55,40.15,130.65,24.25,27.65,26.4,13.95,13.25,-0.23,14
12,20,12,14,13.55,42.05,130.65,24.4,29.05,26.3,13.95,13.25,-0.23,15
20,12,14,15,13.6,44.75,130.65,25,29.65,28.25,13.9,13.25,0.59,17
12,14,15,17,13.6,43.75,130.65,24.75,30.35,27.85,13.85,13.25,0.59,17
14,15,17,17,13.6,42.5,130.65,24.75,32.25,27.5,13.9,13.2,0.59,9
15,17,17,9,13.6,42,130.65,24.25,31.45,27.3,14,13.2,0.59,9
17,17,9,9,13.6,40.5,130.65,24.25,31.55,29.1,14.1,13.25,0.59,6
17,9,9,6,13.6,40.25,130.65,23.55,31.25,27.5,14.1,13.25,0.01,11
9,9,6,11,13.6,39.25,130.65,23.55,30.75,28.25,14.05,13.25,0.01,15
9,6,11,15,13.6,38.15,130.65,25.35,31.25,28.65,14.05,13.25,0.01,17
6,11,15,17,13.6,39.55,130.65,25.95,29.25,29.25,14.1,13.25,0.01,20
11,15,17,20,13.6,39.45,130.65,25.25,29.25,29.25,14.15,13.25,-0.22,18
15,17,20,18,13.6,40.65,130.65,24.75,28.55,28.3,14.25,13.2,-0.22,6
17,20,18,6,13.6,43.75,131.9,24.5,32.5,30.25,14.35,13.25,-0.22,22
20,18,6,22,13.6,43.65,130.65,24.6,30.8,28.65,14.45,13.2,-0.22,12
18,6,22,12,13.6,43,130.65,24.75,28.65,27.25,14.65,13.2,-0.22,12
6,22,12,12,13.6,43,130.65,25.75,28.4,27.3,14.7,13.2,0.96,10
22,12,12,10,13.6,43.35,130.65,25.75,28.45,27.3,14.7,13.05,0.96,23
12,12,10,23,13.6,43.85,130.65,25.6,28.3,26.3,14.8,13.1,0.96,16
12,10,23,16,13.6,43.25,130.65,25.35,29.45,26.75,14.8,13.15,0.96,12
10,23,16,12,13.6,43.15,130.65,25,30.3,26.5,14.55,13.15,-0.41,10
23,16,12,10,13.6,41.5,130.65,24.25,29.25,27,14.5,13.15,-0.41,17
16,12,10,17,13.6,38.95,130.65,23.55,29.7,27.15,14.5,13.15,-0.41,14
12,10,17,14,13.6,39.5,130.65,24.25,30.75,28.25,14.5,13.15,-0.41,3
10,17,14,3,13.6,37.55,130.65,24.5,33.25,30.75,14.7,13.15,0.19,7
17,14,3,7,13.6,35.5,130.65,24.5,37.5,30,14.85,13.15,0.19,4
14,3,7,4,13.6,36.65,130.65,23.5,33.65,28.5,14.95,13.1,0.19,8
3,7,4,8,13.6,36.95,130.65,23.5,29.4,28.4,15.05,13,0.19,6
